chess_com_blitz,chess_com_bullet,chess_com_rapid,uscf,fide
500,445,735,715,
600,530,835,775,
700,620,945,860,
800,725,1035,930,
900,825,1130,1055,
1000,920,1230,1155,1450
1100,1020,1320,1280,1490
1150,1070,1365,1325,1540
1200,1115,1405,1350,1555
1250,1165,1450,1390,1570
1300,1205,1500,1435,1610
1350,1260,1540,1480,1625
1400,1305,1575,1530,1650
1450,1355,1610,1570,1690
1500,1400,1655,1595,1710
1550,1450,1695,1640,1720
1600,1510,1730,1675,1735
1650,1575,1780,1710,1745
1700,1615,1810,1750,1770
1750,1665,1850,1790,1795
1800,1715,1890,1815,1810
1850,1780,1940,1850,1840
1900,1825,1990,1880,1880
1950,1880,2010,1910,1910
2000,1930,2035,1940,1925
2100,2035,2080,2005,1990
2200,2155,2135,2085,2055
2300,2255,2190,2185,2135
2400,2355,2235,2210,2210
2500,2465,2290,2260,2275
2600,2570,2355,2315,2350
2700,2670,2425,2435,2415
2800,2785,2480,2500,2470
2900,2875,2545,2575,2535
3000,2985,2625,2685,2590
